Wavelength,Intensity
740.748781,2
741.235125,2
741.721531,2
742.208,2
742.694531,2
743.181125,1
743.667781,1
744.1545,1
744.641281,1
745.128125,1
745.615031,1
746.102,1
746.589031,1
747.076125,1
747.563281,1
748.0505,1
748.537781,2
749.025125,2
749.512531,2
